Neighborhood,Barrier Count,Average Severity,impact,Livability Score,% Temporary Barriers,Rank
Westlake,127,2.04,259.24793388429754,100,1.6,1
Pike-Market,140,1.92,268.75912408759126,99.97,5,2
Harbor Island,170,2.98,505.9281437125748,99.34,0.6,3
Sand Point,188,3.3,621.0337078651686,99.04,0,4
Portage Bay,328,2.31,757.4006309148265,98.67,0,5
International District,452,2.08,938.8480725623582,98.19,0.7,6
Pioneer Square,539,1.75,945.5253283302063,98.17,2.4,7
Eastlake,387,2.49,961.7317073170732,98.13,1,8
Yesler Terrace,453,2.85,1289.6216216216214,97.25,2.4,9
South Lake Union,756,1.75,1323.2808320950967,97.16,7.7,10
Central Business District,842,1.6,1350.4541062801932,97.09,2.5,11
Mann,669,2.08,1389.6954545454544,96.99,0.1,12
First Hill,736,2.43,1791.729196050776,95.92,0.7,13
Belltown,1067,1.72,1837.5527093596058,95.79,3.3,14
Madison Park,681,2.74,1862.5819295558958,95.73,0.1,15
Lower Queen Anne,946,2.09,1974.0824295010843,95.43,2.1,16
Windermere,696,2.99,2082.6543778801843,95.14,1.1,17
Interbay,637,3.35,2135.4463087248323,95,0.5,18
Laurelhurst,1001,2.27,2274.8156028368794,94.63,0.6,19
Montlake,880,2.72,2393.2710280373835,94.31,0.1,20
Harrison/Denny-Blaine,904,2.77,2507.3783783783783,94.01,0.1,21
West Queen Anne,1086,2.42,2629.864244741874,93.68,3.5,22
Adams,1037,2.57,2661.702191,93.6,0.8,23
Atlantic,1165,2.36,2751.317863397548,93.36,0.3,24
West Woodland,1275,2.26,2875.6849315068494,93.03,1.9,25
East Queen Anne,1197,2.6,3111.3905325443784,92.4,0.3,26
Bryant,1125,2.79,3143.8073394495414,92.31,1.1,27
Minor,1400,2.33,3259.2,92,1.1,28
Lawton Park,1326,2.75,3649.864168618267,90.96,0.8,29
Southeast Magnolia,1385,2.64,3660.5037037037036,90.93,0.6,30
Briarcliff,1714,2.24,3838.994671403197,90.46,0,31
Madrona,1408,2.74,3853.2574762946756,90.42,0.8,32
Stevens,1666,2.37,3940.5937690897986,90.19,0.4,33
Sunset Hill,1464,2.83,4136.639332870049,89.67,0.1,34
North Queen Anne,1602,2.7,4324.037933289732,89.17,1.3,35
Broadway,1824,2.46,4479.255391600454,88.75,0.4,36
University District,2035,2.27,4615.95058,88.39,3.3,37
Leschi,1669,2.77,4625.136059,88.36,0.9,38
Phinney Ridge,1782,2.84,5065.003970504821,87.19,0.1,39
Fremont,2133,2.56,5460.4800000000005,86.14,2.8,40
View Ridge,1699,3.42,5810.474143302181,85.2,0.2,41
Loyal Heights,2110,2.98,6289.819336,83.93,0.7,42
Green Lake,2650,2.82,7484.223770809136,80.74,0.9,43
Roosevelt,2634,3.08,8100.236202238518,79.1,0.7,44
Whittier Heights,2684,3.43,9206.672768878718,76.15,0.4,45
North Beacon Hill,4147,2.64,10966.511111111111,71.46,1.1,46
Wallingford,3470,3.25,11286.159718144452,70.61,0.5,47
Mount Baker,4924,2.76,13594.857860581955,64.46,0.9,48
Ravenna,5282,3.42,18051.32397,52.58,0.4,49
Industrial District,11481,3.29,37778.39545986848,0,0.5,50